sample,iso,elapsed_s,rss_bytes,peak_rss_bytes,handles,threads,cpu_ms,tcp_total,tcp_established,tcp_listen,tcp_close_wait,tcp_time_wait,tcp_other,leech_completed,leech_failed,churn_runs
0,2026-08-23T04:06:35.906Z,8,14241792,14340096,203,28,281,2,1,1,0,0,0,0,0,0
1,2026-08-23T04:07:12.620Z,45,14331904,14475264,207,26,609,2,1,1,0,0,0,2,0,0
2,2026-08-23T04:07:43.083Z,75,14262272,14475264,204,25,781,2,1,1,0,0,0,4,0,0
3,2026-08-23T04:08:13.504Z,106,14282752,14475264,204,25,906,1,0,1,0,0,0,6,0,0
4,2026-08-23T04:08:43.914Z,136,14319616,14532608,204,25,1172,1,0,1,0,0,0,8,0,0
5,2026-08-23T04:09:14.432Z,167,14417920,14573568,207,26,1469,2,1,1,0,0,0,10,0,0
6,2026-08-23T04:09:45.305Z,198,14950400,15069184,224,31,1797,2,1,1,0,0,0,12,0,0
7,2026-08-23T04:10:15.936Z,228,14897152,15069184,218,29,2062,2,1,1,0,0,0,14,0,0
8,2026-08-23T04:10:46.461Z,259,14675968,15069184,212,27,2391,2,1,1,0,0,0,16,0,0
9,2026-08-23T04:11:16.976Z,289,14589952,15069184,206,25,2594,1,0,1,0,0,0,18,0,0
10,2026-08-23T04:11:47.467Z,320,14901248,15069184,212,30,2797,1,0,1,0,0,0,20,0,0
11,2026-08-23T04:12:17.922Z,350,14995456,15122432,212,30,3016,1,0,1,0,0,0,22,0,0
12,2026-08-23T04:12:48.376Z,381,15011840,15138816,212,30,3188,1,0,1,0,0,0,24,0,0
13,2026-08-23T04:13:18.807Z,411,14860288,15138816,209,26,3391,2,1,1,0,0,0,26,0,0
14,2026-08-23T04:13:49.352Z,442,14843904,15138816,209,26,3641,2,1,1,0,0,0,28,0,0
15,2026-08-23T04:14:19.884Z,472,14798848,15138816,206,25,3797,2,1,1,0,0,0,30,0,0
16,2026-08-23T04:14:50.482Z,503,14860288,15138816,209,26,4062,2,1,1,0,0,0,32,0,0
17,2026-08-23T04:15:21.132Z,533,14995456,15159296,212,27,4297,1,0,1,0,0,0,34,0,0
18,2026-08-23T04:15:52.967Z,565,15003648,15159296,209,26,4547,3,1,1,0,0,1,36,0,0
19,2026-08-23T04:16:32.206Z,604,15007744,15159296,209,28,4688,2,1,1,0,0,0,38,0,0
20,2026-08-23T04:17:11.810Z,644,15044608,15159296,206,27,4953,2,1,1,0,0,0,40,0,0
21,2026-08-23T04:17:50.693Z,683,15020032,15159296,206,25,5203,2,1,1,0,0,0,42,0,0
22,2026-08-23T04:18:21.464Z,714,22454272,22454272,572,173,5703,1,0,1,0,0,0,44,0,0
23,2026-08-23T04:18:52.089Z,744,18796544,22466560,359,76,6031,2,1,1,0,0,0,46,0,0
24,2026-08-23T04:19:22.647Z,775,16240640,22466560,224,31,6344,2,1,1,0,0,0,48,0,0
25,2026-08-23T04:19:53.120Z,805,15720448,22466560,209,26,6547,2,1,1,0,0,0,50,0,0
26,2026-08-23T04:20:23.625Z,836,15417344,22466560,209,26,6750,1,0,1,0,0,0,52,0,0
27,2026-08-23T04:20:54.031Z,866,15564800,22466560,212,27,6953,1,0,1,0,0,0,54,0,0
28,2026-08-23T04:21:24.474Z,897,15331328,22466560,206,25,7172,2,1,1,0,0,0,56,0,0
29,2026-08-23T04:21:54.939Z,927,15437824,22466560,206,25,7484,2,1,1,0,0,0,58,0,0
30,2026-08-23T04:22:25.374Z,958,15355904,22466560,209,26,7859,2,1,1,0,0,0,60,0,0
31,2026-08-23T04:22:55.814Z,988,15294464,22466560,206,25,8047,2,1,1,0,0,0,62,0,0
32,2026-08-23T04:23:26.267Z,1018,15343616,22466560,206,25,8266,1,0,1,0,0,0,64,0,0
33,2026-08-23T04:23:56.785Z,1049,15499264,22466560,212,27,8453,2,1,1,0,0,0,66,0,0
34,2026-08-23T04:24:27.246Z,1079,15405056,22466560,209,26,8656,1,0,1,0,0,0,68,0,0
35,2026-08-23T04:24:57.749Z,1110,15388672,22466560,206,25,8953,2,1,1,0,0,0,70,0,0
36,2026-08-23T04:25:28.220Z,1140,15441920,22466560,209,26,9188,2,1,1,0,0,0,72,0,0
37,2026-08-23T04:25:59.715Z,1172,15331328,22466560,206,25,9406,2,1,1,0,0,0,74,0,0
38,2026-08-23T04:26:38.354Z,1211,15392768,22466560,206,25,9672,2,1,1,0,0,0,76,0,0
39,2026-08-23T04:27:18.682Z,1251,15446016,22466560,200,23,9891,2,1,1,0,0,0,78,0,0
40,2026-08-23T04:27:59.208Z,1291,15175680,22466560,197,22,10094,2,1,1,0,0,0,80,0,0
41,2026-08-23T04:28:39.331Z,1332,15474688,22466560,209,26,10312,2,1,1,0,0,0,82,0,0
42,2026-08-23T04:29:21.088Z,1373,15364096,22466560,203,24,10531,2,1,1,0,0,0,84,0,0
43,2026-08-23T04:29:58.161Z,1410,15396864,22466560,209,26,10719,1,0,1,0,0,0,86,0,0
44,2026-08-23T04:30:28.755Z,1441,15400960,22466560,209,26,10938,2,1,1,0,0,0,88,0,0
45,2026-08-23T04:30:59.236Z,1471,15425536,22466560,209,26,11172,1,0,1,0,0,0,90,0,0
46,2026-08-23T04:31:29.623Z,1502,15429632,22466560,209,26,11406,2,1,1,0,0,0,92,0,0
47,2026-08-23T04:32:01.332Z,1534,15470592,22466560,209,26,11609,1,0,1,0,0,0,94,0,0
48,2026-08-23T04:32:39.431Z,1572,15675392,22466560,218,29,11797,2,1,1,0,0,0,96,0,0
49,2026-08-23T04:33:19.334Z,1612,15474688,22466560,209,26,11984,2,1,1,0,0,0,98,0,0
50,2026-08-23T04:34:04.284Z,1656,15233024,22466560,197,22,12141,2,1,1,0,0,0,100,0,0
51,2026-08-23T04:34:42.234Z,1694,15413248,22466560,206,25,12312,2,1,1,0,0,0,102,0,0
52,2026-08-23T04:35:19.577Z,1732,15433728,22466560,206,25,12547,2,1,1,0,0,0,104,0,0
53,2026-08-23T04:35:49.982Z,1762,15679488,22466560,215,28,12844,1,0,1,0,0,0,106,0,0
54,2026-08-23T04:36:20.507Z,1793,15486976,22466560,206,25,13125,2,1,1,0,0,0,108,0,0
55,2026-08-23T04:36:51.032Z,1823,15548416,22466560,209,26,13312,4,2,1,0,0,1,110,0,0
56,2026-08-23T04:37:21.636Z,1854,15556608,22466560,209,26,13656,2,1,1,0,0,0,112,0,0
57,2026-08-23T04:37:52.156Z,1884,15527936,22466560,206,25,13906,1,0,1,0,0,0,114,0,0
58,2026-08-23T04:38:22.638Z,1915,15802368,22466560,212,27,14172,1,0,1,0,0,0,116,0,0
59,2026-08-23T04:38:53.096Z,1945,15720448,22466560,209,26,14453,1,0,1,0,0,0,118,0,0
60,2026-08-23T04:39:23.580Z,1976,15671296,22466560,206,25,14641,2,1,1,0,0,0,120,0,0
61,2026-08-23T04:39:54.074Z,2006,15695872,22466560,206,25,14844,1,0,1,0,0,0,122,0,0
